num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
3|a|1|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BVkPTJklaCX/?taken-by=thedriftcollective
1|a|0|0|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BVhtH-kFKXP/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BVfarXZliJe/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BVbHBdjlNpj/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BVVLOU7FVkX/?taken-by=thedriftcollective
1|b|0|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BVTIkEOl1EK/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|1|0|1|https://www.instagram.com/p/BVPw9rclZmU/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BVFsYQyltEz/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BVD2MUFFQ7t/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|1|1|0|1|0|0|0|0|https://www.instagram.com/p/BVBAGI9l0Pz/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BU9eU-YFZF-/?taken-by=thedriftcollective
2|d|1|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BU7h8GVlDRq/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BU0blo3Fm9n/?taken-by=thedriftcollective
2|b|0|1|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BUyDn9wFTPn/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|1|1|1|0|0|0|https://www.instagram.com/p/BUwu5XlFzK_/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BUunu1NlL4d/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BUsirk9FFYJ/?taken-by=thedriftcollective
2|b|0|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BUqLt7xFsVZ/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BUpJqNTlagD/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|1|0|1|https://www.instagram.com/p/BUma6WCFOAD/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BUk5tGhltmr/?taken-by=thedriftcollective
1|b|0|1|0|1|0|0|0|1|1|1|0|0|0|0|https://www.instagram.com/p/BUkaJjFlKZZ/?taken-by=thedriftcollective
0|b|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BUiR7tUFEDX/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BUex0K7lsWJ/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|0|0|0|1|0|0|0|1|https://www.instagram.com/p/BUcsFsgFwcy/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BUalg66lT62/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|0|1|0|https://www.instagram.com/p/BUZTUn1FnOl/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BUXGBhYFL0S/?taken-by=thedriftcollective
1|d|0|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BUUYAUClcDf/?taken-by=thedriftcollective
1|d|0|1|1|1|0|0|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BUM7sytFnte/?taken-by=thedriftcollective
